localTimestamp,utcTimestamp,latitude,longitude,altitude,speed,fixQuality,satelliteCount
1772262953348,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1772262953356,2026-01-10T05:33:02Z,38.94499333333333,-77.40478833333333,89.6,0.51,1,8
1772263452774,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1772263452783,2026-01-10T05:33:02Z,38.94499333333333,-77.40478833333333,89.6,0.51,1,8
1772264067556,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1772264067569,2026-01-10T05:33:02Z,38.94499333333333,-77.40478833333333,89.6,0.51,1,8
1772264777099,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1772264777106,2026-01-10T05:33:02Z,38.94499333333333,-77.40478833333333,89.6,0.51,1,8
1773110240212,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1773110263905,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1773288626397,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1773288772520,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1773288873800,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1773288979922,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1773514624367,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
1773514778771,2026-01-10T05:33:01Z,38.94499333333333,-77.40478666666667,,0.51,1,
