localTimestamp,utcTimestamp,latitude,longitude,altitude,speed,fixQuality,satelliteCount
1773722690816,1980-01-06T00:00:00.094Z,,,,0.0,0,
1773722705815,1980-01-06T00:00:15.094Z,,,,0.0,0,
1773722748818,1980-01-06T00:00:58.094Z,,,,0.0,0,
1773722809699,1980-01-06T00:01:59.094Z,,,,0.0,0,0
1773722849817,1980-01-06T00:02:39.094Z,,,,0.0,0,
1773722910697,1980-01-06T00:03:40.094Z,,,,0.0,0,0
1773723128262,1980-01-06T00:07:17.545Z,,,,0.0,0,
1773723220140,2026-03-17T23:59:53.095Z,,,,,0,0
1774216259505,,,,,,,,,,,1,,,,,,,
1774216432673,,,,,,,,,,,3,,,,1.28,0.96,1.61,
1774216515780,2026-03-22T21:55:16Z,220326,215516.000,38.945205,-77.40497,,0.34,126.27,,1,,,,,,,,
1774218947605,2026-03-22T22:35:47Z,220326,223547.000,38.945135,-77.40480333333333,,0.34,222.57,,1,,,,,,,,
1774221418472,,,,,,,,,,,3,,,,0.84,0.77,1.14,
1774221448475,2026-03-22T23:17:28Z,220326,231728.000,38.94518,-77.40478499999999,129.2,0.5,143.27,,1,3,12,8,72|87|86|71|65|88|78|79,0.9,0.77,1.19,-33.4
1774221478483,2026-03-22T23:17:58Z,220326,231758.000,38.945166666666665,-77.404815,128.7,0.08,286.48,,1,3,12,8,72|87|86|71|65|88|78|79,0.87,0.77,1.17,-33.4
1774221508488,2026-03-22T23:18:28Z,220326,231828.000,38.94512833333333,-77.40480833333332,128.5,0.64,102.37,,1,3,13,8,72|87|86|71|65|88|78|79,0.84,0.78,1.15,-33.4
1774221538550,2026-03-22T23:18:58Z,220326,231858.000,38.94513833333333,-77.40481,128.1,0.26,141.17,,1,3,13,8,72|87|86|71|65|88|78|79,0.81,0.72,1.08,-33.4
1774221569363,2026-03-22T23:19:29Z,220326,231929.000,38.945164999999996,-77.40483666666667,127.7,0.7,223.85,,1,3,12,8,72|87|86|71|65|88|78|79,0.9,0.79,1.2,-33.4
1774221599385,2026-03-22T23:19:59Z,220326,231959.000,38.945191666666666,-77.40482333333333,128.3,0.63,204.87,,1,3,14,8,72|87|86|71|65|88|78|79,0.84,0.76,1.14,-33.4
1774221629398,2026-03-22T23:20:29Z,220326,232029.000,38.945191666666666,-77.404805,129.3,0.6,358.73,,1,3,14,8,72|87|86|71|65|88|78|79,0.84,0.76,1.14,-33.4
1774221659452,2026-03-22T23:20:59Z,220326,232059.000,38.945206666666664,-77.40478166666666,132.6,0.6,193.19,,1,3,13,8,72|87|86|71|65|88|78|79,0.87,0.76,1.16,-33.4
1774221689454,2026-03-22T23:21:29Z,220326,232129.000,38.945193333333336,-77.40477,132.5,0.75,229.74,,1,3,15,7,72|87|86|71|65|88|79,0.74,0.69,1.02,-33.4
1774221719455,2026-03-22T23:21:59Z,220326,232159.000,38.94515166666667,-77.40477,131.7,0.94,181.3,,1,3,14,7,72|87|86|71|65|88|79,0.85,0.77,1.14,-33.4
1774221749506,2026-03-22T23:22:29Z,220326,232229.000,38.94515833333333,-77.40475833333333,130.9,0.51,23.04,,1,3,14,7,72|87|86|71|65|88|79,0.85,0.77,1.14,-33.4
